id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
83,旗山孔廟,0.6,1,0.2,0.1,0.4,"廟宇,古蹟,風景",22.88885801,120.4762043,https://khh.travel/image/1083/1024x768,旗山區
84,地景橋,0.7,0.3,0.3,0.1,0.4,"風景,打卡點",22.88433123,120.4856682,https://khh.travel/image/1466/1024x768,旗山區
85,聖若瑟天主堂,0.3,1,0.2,0.1,0.2,"廟宇,古蹟",22.88486749,120.4789817,https://tournews.tw/wp-content/uploads/2023/12/2O9A4515.jpg,旗山區
86,旗山橋,0.6,0.3,0.2,0.1,0.3,風景,22.88178418,120.487548,https://khh.travel/image/20415/1920x1080,旗山區
87,旗糖農創園區,0.6,0.7,0.8,0.6,0.5,"文創,親子,娛樂",22.87889829,120.492234,https://khh.travel/image/55760/1920x1080,旗山區
88,勞動女性紀念公園,0.5,0.8,0.1,0.1,0.3,"古蹟,風景",22.59445802,120.2811245,https://www.vrwalker.net/public/sceneryfiles/65/372.jpg,旗津區
89,戰爭與和平紀念公園,0.5,0.9,0.2,0.1,0.3,"古蹟,藝文",22.59118629,120.2828156,https://khcc.kcg.gov.tw/PhotoData/PIC980703_1.JPG,旗津區
90,旗津星空隧道,0.7,0.4,0.6,0.2,0.4,"打卡點,風景,海邊",22.61287718,120.2641033,https://khh.travel/image/42866/1920x1080,旗津區
91,旗津觀光漁港,0.7,0.4,0.6,0.9,0.4,"美食,海鮮,海邊",22.59074317,120.2869364,https://khh.travel/image/1116/480x360,旗津區
92,高雄燈塔,0.8,0.9,0.4,0.2,0.5,"古蹟,風景,打卡點",22.61558843,120.2650691,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_A12-00183_4.jpg,旗津區
93,旗後教會,0.3,0.9,0.2,0.1,0.2,"廟宇,古蹟",22.61195509,120.2676349,https://upload.wikimedia.org/wikipedia/commons/c/c5/%E8%87%BA%E7%81%A3%E5%9F%BA%E7%9D%A3%E9%95%B7%E8%80%81%E6%95%99%E6%9C%83%E6%97%97%E5%BE%8C%E6%95%99%E6%9C%83-01.jpg,旗津區
94,旗津天后宮,0.3,1,0.3,0.5,0.3,"廟宇,美食",22.61336697,120.2683623,https://khh.travel/image/1132/1024x768,旗津區
95,海軍明德訓練班,0.4,0.9,0.2,0.1,0.3,"古蹟,文化",22.63007924,120.3740478,https://khh.travel/image/20042/1920x1080,鳳山區
96,陸軍官校,0.3,0.9,0.2,0.1,0.2,"古蹟,文化",22.6193001,120.3658591,https://www.rocma.edu.tw/uploads/a96417f4-8142-4593-b825-c3534c1cea43-%E8%A1%8C%E6%94%BF%E5%96%AE%E4%BD%8D.png,鳳山區
97,鳳山天公廟,0.2,1,0.2,0.2,0.2,"廟宇,文化",22.62508972,120.3597646,https://khh.travel/image/46/1024x768,鳳山區
98,鳳山仙公廟,0.2,1,0.2,0.2,0.2,"廟宇,文化",22.61593055,120.3555754,https://khh.travel/image/47/1024x768,鳳山區
99,鳳山基督長老教會,0.2,0.9,0.2,0.1,0.2,"廟宇,古蹟",22.6284884,120.3606465,https://khh.travel/image/50/1024x768,鳳山區
100,大東文化藝術中心,0.6,0.9,0.6,0.4,0.4,"藝文,打卡點,親子",22.62497143,120.3634878,https://khh.travel/image/20412/1920x1080,鳳山區
101,天工開物-R23橋頭火車站,0.2,0.7,0.3,0.2,0.2,"藝文,打卡點",22.76024695,120.3109769,https://khh.travel/image/172/1024x768,橋頭區
102,橋頭老街,0.3,0.8,0.5,0.8,0.4,"老街,美食,古蹟",22.75643253,120.3116452,https://khh.travel/image/50426/1920x1080,橋頭區
103,橋頭白樹彩繪村,0.4,0.7,0.4,0.1,0.3,"打卡點,藝文",22.75988,120.30386,https://khh.travel/image/1143/1024x768,橋頭區
104,臺糖花卉農園中心,0.9,0.4,0.6,0.5,0.5,"親子,烤肉,戶外運動",22.74116955,120.3248641,https://www.taisugar.com.tw/upload/RelPic/Attractions/31/636586977889593461.jpg,橋頭區
105,太陽谷,1,0.2,0.1,0.1,0.7,"風景,地質",22.80378,120.40708,https://openmuseum.tw/muse_download/892de749bb20ef812a4fe312b57d744c?download=1,燕巢區
